;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-13 08:54:42.900000+00:00;qCGnlIkLoHHQFGEi;click;BUTTON;;[1139, 359];[57, 29];[36, 107]
1;2022-01-13 08:55:06.274000+00:00;qCGnlIkLoHHQFGEi;click;LABEL;;[202, 461];[76, 9];[24, 239]
2;2022-01-13 08:55:06.281000+00:00;qCGnlIkLoHHQFGEi;click;INPUT;radio;[202, 461];[99, 4];[14, 14]
3;2022-01-13 08:55:35.910000+00:00;qCGnlIkLoHHQFGEi;click;INPUT;radio;[110, 102];[7, 9];[14, 14]
4;2022-01-13 08:55:38.045000+00:00;qCGnlIkLoHHQFGEi;click;LABEL;;[284, 131];[158, 17];[24, 186]
5;2022-01-13 08:55:38.055000+00:00;qCGnlIkLoHHQFGEi;click;INPUT;radio;[284, 131];[181, 12];[14, 14]
6;2022-01-13 08:56:38.149000+00:00;qCGnlIkLoHHQFGEi;click;INPUT;radio;[114, 543];[11, 8];[14, 14]
7;2022-01-13 08:56:41.623000+00:00;qCGnlIkLoHHQFGEi;click;LABEL;;[262, 564];[136, 8];[24, 147]
8;2022-01-13 08:56:41.636000+00:00;qCGnlIkLoHHQFGEi;click;INPUT;radio;[262, 564];[159, 3];[14, 14]
